Data,Cliques,Impressões,CTR,Posição
2026-07-29,0,1,0%,10
2026-07-30,0,16,0%,71.1
2026-07-31,0,1,0%,9
2026-08-01,0,3,0%,6.3
2026-08-02,0,3,0%,4.3
2026-08-03,0,4,0%,5.8
2026-08-04,0,3,0%,5.7
2026-08-05,0,7,0%,9
2026-08-06,0,1,0%,5
2026-08-07,1,5,20%,5.8
2026-08-08,0,4,0%,10.5
2026-08-09,0,3,0%,4.3
2026-08-10,1,8,12.5%,17
2026-08-11,0,2,0%,5.5
2026-08-12,0,5,0%,7.8
2026-08-13,0,2,0%,6.5
2026-08-14,0,6,0%,7.2
2026-08-15,0,3,0%,9
2026-08-16,0,4,0%,4
2026-08-17,0,0,,
2026-08-18,0,1,0%,2
2026-08-19,0,1,0%,9
2026-08-20,0,1,0%,1
2026-08-21,0,10,0%,42
2026-08-22,0,4,0%,10
2026-08-23,0,1,0%,9
2026-08-24,0,3,0%,4.7
2026-08-25,0,12,0%,37.9
2026-08-26,0,4,0%,8.5
2026-08-27,0,7,0%,16
2026-08-28,0,4,0%,7.5
2026-08-29,0,6,0%,77.3
2026-08-30,0,4,0%,6.2
2026-08-31,3,5,60%,17.4
2026-09-01,0,0,,
2026-09-02,0,1,0%,9
2026-09-03,0,4,0%,8.2
2026-09-04,0,5,0%,11.8
2026-09-05,0,4,0%,9
2026-09-06,0,3,0%,5
2026-09-07,0,3,0%,7.7
2026-09-08,0,1,0%,1
2026-09-09,0,2,0%,10
2026-09-10,0,7,0%,10.1
2026-09-11,0,11,0%,6
2026-09-12,0,3,0%,8.3
